drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.1,0.17450000000000002,0.0,0.0,0.0,0.0,0.1939774705581157,-0.4523058877493144,0.09342654911402,0.09287098250854477,0.011961234531527198
0.005,0.1,0.17800000000000002,0.0,0.0,0.0,0.0,0.19838709677419356,-0.4702876278991118,0.0889098235928378,0.08837846747143205,0.011961234531527198
0.005,0.1,0.18150000000000002,0.0,0.0,0.0,0.0,0.20164976958525346,-0.48333089717077043,0.08573381360332791,0.08521966392065376,0.011961234531527198
0.005,0.1,0.18500000000000003,0.0,0.0,0.0,0.0,0.20538863287250383,-0.49806143378801493,0.08223418532224205,0.08173913662752012,0.011961234531527198
0.005,0.1,0.1885,0.0,0.0,0.0,0.0,0.20806861239119304,-0.5084161764778035,0.07984253370232378,0.07936066098719166,0.011961234531527198
0.005,0.1,0.192,0.0,0.0,0.0,0.0,0.21166513056835637,-0.5221922050855037,0.07671310233017431,0.07624853697623091,0.011961234531527198
0.005,0.1,0.1955,0.0,0.0,0.0,0.0,0.21524935995903738,-0.5357407612537686,0.07370526094339148,0.07325743231725532,0.011961234531527198
0.005,0.1,0.199,0.0,0.0,0.0,0.0,0.21832974910394268,-0.5471097670702579,0.07126391134766526,0.07082980209195541,0.011961234531527198
0.005,0.1,0.2025,0.0,0.0,0.0,0.0,0.22157808499743983,-0.558969982708599,0.06876490519475116,0.06834490001725718,0.011961234531527198
0.005,0.1,0.20600000000000002,0.0,0.0,0.0,0.0,0.22592933947772656,-0.5745981446672962,0.06555183480198201,0.06515007342003484,0.011961234531527198
0.005,0.1,0.20950000000000002,0.0,0.0,0.0,0.0,0.2287741935483871,-0.5846743830997415,0.06352857098536843,0.06313835658498523,0.011961234531527198
0.005,0.1,0.21300000000000002,0.0,0.0,0.0,0.0,0.23248950332821303,-0.5975879132415455,0.06100339975107733,0.06062769116114424,0.011961234531527198
0.005,0.1,0.21650000000000003,0.0,0.0,0.0,0.0,0.2356815156169995,-0.608477449484558,0.05892964130798754,0.058565916043468454,0.011961234531527198
0.005,0.1,0.22,0.0,0.0,0.0,0.0,0.2399252432155658,-0.6227360744785184,0.056277253305968215,0.055928925821047956,0.011961234531527198
0.005,0.15,0.01,1.0,1.0,0.66,0.54,0.032686304909560725,0.5516119284388714,0.5027407408118812,0.5004509515574057,0.0166571355506977
0.005,0.15,0.0135,1.0,1.0,0.05,0.03,0.036073385012919894,0.5189844910655872,0.4895087863665281,0.4872201694890452,0.0166571355506977
0.005,0.15,0.017,1.0,1.0,0.0,0.0,0.039471834625323,0.48719808908335976,0.47625132082741195,0.47396705689650537,0.0166571355506977
0.005,0.15,0.0205,1.0,1.0,0.0,0.0,0.04324857881136951,0.45296634426184595,0.46155115817166625,0.45927570327403516,0.0166571355506977
0.005,0.15,0.024,1.0,1.0,0.0,0.0,0.04650335917312662,0.42424654658413063,0.4489471793252908,0.4466823527320915,0.0166571355506977
0.005,0.15,0.027500000000000004,1.0,1.0,0.0,0.0,0.04959483204134367,0.3976216282711966,0.4370449438391206,0.43479287451135645,0.0166571355506977
0.005,0.15,0.031,1.0,1.0,0.0,0.0,0.05372506459948321,0.36291267942818456,0.42128336857198895,0.4190519888571403,0.0166571355506977
0.005,0.15,0.0345,1.0,1.0,0.0,0.0,0.057137984496124034,0.3349908061216974,0.40839831466683285,0.4061873233092782,0.0166571355506977
0.005,0.15,0.038,1.0,1.0,0.0,0.0,0.060188113695090445,0.31056466675168404,0.39701165228478935,0.39482118962972373,0.0166571355506977
0.005,0.15,0.0415,1.0,1.0,0.0,0.0,0.06431524547803617,0.27829569099277085,0.381830039632742,0.3796707927249482,0.0166571355506977
0.005,0.15,0.045000000000000005,1.0,1.0,0.0,0.0,0.06748527131782946,0.2540387257663624,0.370344700594896,0.36821171744895875,0.0166571355506977
0.005,0.15,0.0485,1.0,1.0,0.0,0.0,0.07093023255813953,0.22825051875479965,0.358085966509322,0.3559839297954756,0.0166571355506977
0.005,0.15,0.052000000000000005,1.0,1.0,0.0,0.0,0.07496744186046511,0.19855688475603803,0.34396828083873066,0.34190459808510604,0.0166571355506977
0.005,0.15,0.0555,1.0,1.0,0.0,0.0,0.07739948320413437,0.18105757294408079,0.3356405852235744,0.3336015253455923,0.0166571355506977
0.005,0.15,0.059000000000000004,1.0,1.0,0.0,0.0,0.08186459948320414,0.14954462186368322,0.3206733262665437,0.3186816931940968,0.0166571355506977
0.005,0.15,0.0625,1.0,1.0,0.0,0.0,0.08482583979328165,0.12904558671704724,0.31098288075722463,0.3090240013621318,0.0166571355506977
0.005,0.15,0.066,1.0,1.0,0.0,0.0,0.08857260981912145,0.10360766119608637,0.29902009606808305,0.29710417635196024,0.0166571355506977
0.005,0.15,0.0695,1.0,1.0,0.0,0.0,0.0918139534883721,0.08198338366119842,0.28893032681213054,0.2870525472982406,0.0166571355506977
0.005,0.15,0.073,1.0,0.99,0.0,0.0,0.09592144702842377,0.05512348954638739,0.27652118835850614,0.2746929628943876,0.0166571355506977
0.005,0.15,0.0765,1.0,0.94,0.0,0.0,0.09912144702842378,0.03459819095213783,0.26714098749242754,0.26535212480207643,0.0166571355506977
0.005,0.15,0.08,0.97,0.75,0.0,0.0,0.10244444444444444,0.013622897568429205,0.25766746735018287,0.25591991592113617,0.0166571355506977
0.005,0.15,0.08349999999999999,0.91,0.31,0.0,0.0,0.10610335917312662,-0.009122018996086506,0.24751690646177957,0.24581522887391052,0.0166571355506977
0.005,0.15,0.087,0.6,0.11,0.0,0.0,0.10911627906976744,-0.02753517008751317,0.23941286813835544,0.2377491975144458,0.0166571355506977
0.005,0.15,0.0905,0.13,0.01,0.0,0.0,0.1129798449612403,-0.05071378338518308,0.22937967662073672,0.22776488397150352,0.0166571355506977
0.005,0.15,0.094,0.01,0.0,0.0,0.0,0.11651576227390181,-0.07156349493073999,0.22050747033713947,0.2189373660823727,0.0166571355506977
0.005,0.15,0.0975,0.01,0.0,0.0,0.0,0.11963927648578812,-0.08967074025046584,0.21293670688563016,0.21140594128389395,0.0166571355506977
0.005,0.15,0.10099999999999999,0.0,0.0,0.0,0.0,0.12387286821705427,-0.1138403404024946,0.203012684536961,0.20153486454857547,0.0166571355506977
0.005,0.15,0.1045,0.0,0.0,0.0,0.0,0.12722170542635658,-0.13255809574041758,0.1955041886616271,0.19406783530950508,0.0166571355506977
0.005,0.15,0.108,0.0,0.0,0.0,0.0,0.12956795865633075,-0.14554934517206708,0.19036548078447793,0.18895791541354082,0.0166571355506977
0.005,0.15,0.1115,0.0,0.0,0.0,0.0,0.134128165374677,-0.17031356583918328,0.1807951203739966,0.1794427420479014,0.0166571355506977
0.005,0.15,0.11499999999999999,0.0,0.0,0.0,0.0,0.13738087855297157,-0.18774297256781441,0.17419107170184092,0.1728774859353367,0.0166571355506977
0.005,0.15,0.1185,0.0,0.0,0.0,0.0,0.14042377260981911,-0.20375527599887924,0.16826691222229628,0.1669889742647207,0.0166571355506977
0.005,0.15,0.122,0.0,0.0,0.0,0.0,0.14431317829457366,-0.22390113091331237,0.1609773714849937,0.15974417644992508,0.0166571355506977
0.005,0.15,0.1255,0.0,0.0,0.0,0.0,0.14803720930232558,-0.2428503573911483,0.15429484413657904,0.15310353049275005,0.0166571355506977
0.005,0.15,0.129,0.0,0.0,0.0,0.0,0.1514532299741602,-0.25995703313471646,0.1484067210707976,0.14725296726365805,0.0166571355506977
0.005,0.15,0.1325,0.0,0.0,0.0,0.0,0.1547121447028424,-0.27605459673417143,0.14298452198772682,0.1418658657473117,0.0166571355506977
0.005,0.15,0.136,0.0,0.0,0.0,0.0,0.15836279069767442,-0.2937992425429226,0.13714994526793872,0.1360696717278409,0.0166571355506977
0.005,0.15,0.1395,0.0,0.0,0.0,0.0,0.16213229974160207,-0.31183246703161377,0.13137150855707802,0.13032983522280325,0.0166571355506977
0.005,0.15,0.14300000000000002,0.0,0.0,0.0,0.0,0.16524237726098193,-0.3264181066946734,0.1268316297119229,0.12582082278596796,0.0166571355506977
0.005,0.15,0.14650000000000002,0.0,0.0,0.0,0.0,0.16831317829457365,-0.34065247823246,0.12249360759665509,0.12151258977560592,0.0166571355506977
0.005,0.15,0.15000000000000002,0.0,0.0,0.0,0.0,0.17263979328165374,-0.36047551374573233,0.1165711783085194,0.11563121678881558,0.0166571355506977
0.005,0.15,0.15350000000000003,0.0,0.0,0.0,0.0,0.17599276485788112,-0.3754724769049011,0.11225264025908928,0.1113431860995826,0.0166571355506977
0.005,0.15,0.157,0.0,0.0,0.0,0.0,0.1795720930232558,-0.39132518938528504,0.1077705207325471,0.10689294265776729,0.0166571355506977
0.005,0.15,0.1605,0.0,0.0,0.0,0.0,0.1831937984496124,-0.4070862771134589,0.10343791076743289,0.10259153544859098,0.0166571355506977
